題項代碼,題組,問卷,題幹（英文原文）,題目（英文原文）,選項（依序）,對應構念,Annex B 表,臺灣各選項%,OECD各選項%
SC400Q06DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with at least an <ISCED Level 6 – Bachelor’s or equivalent level> qualification in <pedagogy> (full time),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 3 | Top international quartile - Median: 8 | not administered/not applicable | no response,,,,
SC400Q06DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with at least an <ISCED Level 6 – Bachelor’s or equivalent level> qualification in <pedagogy>  (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q07DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with an <ISCED Level 5 – Short-cycle tertiary education> but not an <ISCED Level 6 – Bachelor’s or equivalent level> qualification (full time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q07DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with an <ISCED Level 5 – Short-cycle tertiary education> but not an <ISCED Level 6 – Bachelor’s or equivalent level> qualification  (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q08DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,"<School science> teachers with a professional background in a relevant industry (e.g. engineering, research) (full time)",Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q08DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,"<School science> teachers with a professional background in a relevant industry (e.g. engineering, research)  (part time)",Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC401Q01DA,SC401,學校問卷,Does your school offer additional <school science> lessons apart from <school science> lessons offered during the usual school hours?,Does your school offer additional <school science> lessons apart from <school science> lessons offered during the usual school hours?,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,,
SC402Q01DA,SC402,學校問卷,What is the purpose of these additional <school science> lessons?,What is the purpose of these additional <school science> lessons?,<Enrichment> only | <Remedial> only | Both <enrichment> and <remedial> | Without differentiation depending on the prior achievement level of the students | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,,
SC403Q01DA,SC403,學校問卷,What is the average size of <school science> classes in <national modal grade for 15-year-olds> in your school?,What is the average size of <school science> classes in <national modal grade for 15-year-olds> in your school?,15 students or fewer | 16-20 students | 21-25 students | 26-30 students | 31-35 students | 36-40 students | 41-45 students | 46-50 students | More than 50 students,,,,
SC404Q01DA,SC404,學校問卷,Which of the following options describe what your school does for <national modal grade for 15-year-olds> students in <school science> classes?,"Science classes include similar content, but at different levels of difficulty.",For all classes | For some classes | Not for any classes | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Science class ability grouping,Table I.B1.4.171,For all classes=21.94 | For some classes=27.41 | Not for any classes=50.65,For all classes=24.17 | For some classes=34.04 | Not for any classes=41.79
