題項代碼,題組,問卷,題幹（英文原文）,題目（英文原文）,選項（依序）,對應構念,Annex B 表,臺灣各選項%,OECD各選項%
ST034Q02TA,ST034,學生問卷,Thinking about your school: to what extent do you agree with the following statements?,I make friends easily at school.,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' sense of belonging,Table I.B1.3.62,Strongly agree=24.23 | Agree=54.6 | Disagree=17.54 | Strongly disagree=3.63,Strongly agree=26.08 | Agree=53.93 | Disagree=15.3 | Strongly disagree=4.69
ST034Q03TA,ST034,學生問卷,Thinking about your school: to what extent do you agree with the following statements?,I feel like I belong at school.,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' sense of belonging,Table I.B1.3.62,Strongly agree=22.77 | Agree=62.21 | Disagree=11.33 | Strongly disagree=3.69,Strongly agree=22.23 | Agree=53.96 | Disagree=16.9 | Strongly disagree=6.92
ST034Q04TA,ST034,學生問卷,Thinking about your school: to what extent do you agree with the following statements?,I feel awkward and out of place in my school.,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' sense of belonging,Table I.B1.3.62,Strongly agree=4.51 | Agree=17.45 | Disagree=48.62 | Strongly disagree=29.41,Strongly agree=5.19 | Agree=14.02 | Disagree=42.99 | Strongly disagree=37.8
ST034Q05TA,ST034,學生問卷,Thinking about your school: to what extent do you agree with the following statements?,Other students seem to like me.,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' sense of belonging,Table I.B1.3.62,Strongly agree=9.03 | Agree=53.54 | Disagree=31.32 | Strongly disagree=6.11,Strongly agree=19.31 | Agree=63.81 | Disagree=12.91 | Strongly disagree=3.97
ST034Q06TA,ST034,學生問卷,Thinking about your school: to what extent do you agree with the following statements?,I feel lonely at school.,Strongly Agree | Agree | Disagree | Strongly disagree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' sense of belonging,Table I.B1.3.62,Strongly agree=2.98 | Agree=9.45 | Disagree=47.21 | Strongly disagree=40.36,Strongly agree=4.03 | Agree=9.31 | Disagree=37.45 | Strongly disagree=49.21
ST038Q04NA,ST038,學生問卷,"During the past 12 months, how often have you had the following experiences in school?",Other students made fun of me.,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' exposure to bullying,Table I.B1.4.138,Never or almost never=75.05 | A few times a year=15.2 | A few times a month=5.52 | Once a week or more=4.24,Never or almost never=64.95 | A few times a year=21.28 | A few times a month=7.51 | Once a week or more=6.25
ST038Q05NA,ST038,學生問卷,"During the past 12 months, how often have you had the following experiences in school?",I was threatened by other students.,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' exposure to bullying,Table I.B1.4.138,Never or almost never=97.01 | A few times a year=1.93 | A few times a month=0.56 | Once a week or more=0.5,Never or almost never=88.13 | A few times a year=7.85 | A few times a month=2.05 | Once a week or more=1.97
ST038Q07NA,ST038,學生問卷,"During the past 12 months, how often have you had the following experiences in school?",I got hit or pushed around by other students.,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' exposure to bullying,Table I.B1.4.138,Never or almost never=97.99 | A few times a year=1.19 | A few times a month=0.3 | Once a week or more=0.52,Never or almost never=86.42 | A few times a year=8.64 | A few times a month=2.49 | Once a week or more=2.45
ST038Q08NA,ST038,學生問卷,"During the past 12 months, how often have you had the following experiences in school?",Other students spread nasty rumours about me.,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' exposure to bullying,Table I.B1.4.138,Never or almost never=86.59 | A few times a year=9.29 | A few times a month=2.71 | Once a week or more=1.41,Never or almost never=73.33 | A few times a year=18.05 | A few times a month=5.2 | Once a week or more=3.42
ST038Q12DA,ST038,學生問卷,"During the past 12 months, how often have you had the following experiences in school?",Information about me that was upsetting was published online without my consent.,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' exposure to bullying,Table I.B1.4.138,Never or almost never=92.6 | A few times a year=5.55 | A few times a month=1.15 | Once a week or more=0.69,Never or almost never=90.78 | A few times a year=6.07 | A few times a month=1.5 | Once a week or more=1.66
ST062Q01TA,ST062,學生問卷,"In the last two full weeks of school, how often did the following things occur?",I <skipped> a whole school day,Never | One or two times | Three or four times | Five or more times | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,,
ST062Q02TA,ST062,學生問卷,"In the last two full weeks of school, how often did the following things occur?",I <skipped> some classes,Never | One or two times | Three or four times | Five or more times | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,,
